Partial-Vaccinated,State,Total,Total-Vaccinated,Vaccinated-today,date
11331864.0,Andhra Pradesh,14091954.0,2760090.0,0,2021-06-24
18906381.0,Rajasthan,22498537.0,3592156.0,0,2021-06-24
510253.0,Manipur,582812.0,72559.0,0,2021-06-24
554159.0,Meghalaya,629732.0,75573.0,0,2021-06-24
443264.0,Mizoram,496292.0,53028.0,0,2021-06-24
376992.0,Nagaland,430786.0,53794.0,0,2021-06-24
8876967.0,Odisha,10768555.0,1891588.0,0,2021-06-24
394822.0,Puducherry,454183.0,59361.0,0,2021-06-24
4839975.0,Punjab,5736334.0,896359.0,0,2021-06-24
337151.0,Sikkim,397182.0,60031.0,0,2021-06-24
15778964.0,Madhya Pradesh,17982499.0,2203535.0,0,2021-06-24
11290982.0,Tamil Nadu,13638143.0,2347161.0,0,2021-06-24
8233487.0,Telangana,9654650.0,1421163.0,0,2021-06-24
1788531.0,Tripura,2345219.0,556688.0,0,2021-06-24
23925115.0,Uttar Pradesh,28067646.0,4142531.0,0,2021-06-24
3176650.0,Uttarakhand,3922673.0,746023.0,0,2021-06-24
15536883.0,West Bengal,20023587.0,4486704.0,0,2021-06-24
128630.0,Andaman and Nicobar Islands,144234.0,15604.0,0,2021-06-24
23664254.0,Maharashtra,29346408.0,5682154.0,0,2021-06-24
158463.0,Daman and Diu,173633.0,15170.0,0,2021-06-24
45566.0,Lakshadweep,52829.0,7263.0,0,2021-06-24
701689.0,Goa,805001.0,103312.0,0,2021-06-24
437023.0,Arunachal Pradesh,517144.0,80121.0,0,2021-06-24
5235656.0,Assam,6357035.0,1121379.0,0,2021-06-24
12865839.0,Bihar,14980997.0,2115158.0,0,2021-06-24
397301.0,Chandigarh,475527.0,78226.0,0,2021-06-24
146089.0,Dadra and Nagar Haveli,158498.0,12409.0,0,2021-06-24
5179719.0,Delhi,6807728.0,1628009.0,0,2021-06-24
5542189.0,Chhattisgarh,6784592.0,1242403.0,0,2021-06-24
18475542.0,Gujarat,23514159.0,5038617.0,0,2021-06-24
6863286.0,Haryana,8088754.0,1225468.0,0,2021-06-24
2745047.0,Himachal Pradesh,3185494.0,440447.0,0,2021-06-24
3502798.0,Jammu and Kashmir,4119719.0,616921.0,0,2021-06-24
5169299.0,Jharkhand,6133292.0,963993.0,0,2021-06-24
17127137.0,Karnataka,20513122.0,3385985.0,0,2021-06-24
10117042.0,Kerala,12837599.0,2720557.0,0,2021-06-24
166167.0,Ladakh,203725.0,37558.0,0,2021-06-24
701689.0,Goa,805001.0,103312.0,13312.0,2021-06-23
17126371.0,Karnataka,20512334.0,3385963.0,382733.0,2021-06-23
5167917.0,Jharkhand,6131818.0,963901.0,116822.0,2021-06-23
3502239.0,Jammu and Kashmir,4119122.0,616883.0,62459.0,2021-06-23
2744942.0,Himachal Pradesh,3185389.0,440447.0,144491.0,2021-06-23
6863194.0,Haryana,8088643.0,1225449.0,65135.0,2021-06-23
18475269.0,Gujarat,23513610.0,5038341.0,431180.0,2021-06-23
11331864.0,Andhra Pradesh,14091954.0,2760090.0,28963.0,2021-06-23
5179708.0,Delhi,6807716.0,1628008.0,109655.0,2021-06-23
146089.0,Dadra and Nagar Haveli,158498.0,12409.0,3681.0,2021-06-23
5541241.0,Chhattisgarh,6783572.0,1242331.0,156644.0,2021-06-23
397301.0,Chandigarh,475527.0,78226.0,6976.0,2021-06-23
12863306.0,Bihar,14978417.0,2115111.0,259451.0,2021-06-23
5233285.0,Assam,6354626.0,1121341.0,354679.0,2021-06-23
436991.0,Arunachal Pradesh,517112.0,80121.0,11609.0,2021-06-23
166167.0,Ladakh,203725.0,37558.0,1387.0,2021-06-23
10116957.0,Kerala,12837481.0,2720524.0,162602.0,2021-06-23
394822.0,Puducherry,454182.0,59360.0,8538.0,2021-06-23
45566.0,Lakshadweep,52829.0,7263.0,255.0,2021-06-23
15775623.0,Madhya Pradesh,17978981.0,2203358.0,1133209.0,2021-06-23
15536230.0,West Bengal,20022881.0,4486651.0,339474.0,2021-06-23
3176320.0,Uttarakhand,3922340.0,746020.0,118853.0,2021-06-23
23918186.0,Uttar Pradesh,28060510.0,4142324.0,771428.0,2021-06-23
1788351.0,Tripura,2344975.0,556624.0,47293.0,2021-06-23
8233390.0,Telangana,9654533.0,1421143.0,159073.0,2021-06-23
11289696.0,Tamil Nadu,13636788.0,2347092.0,170742.0,2021-06-23
337151.0,Sikkim,397182.0,60031.0,11708.0,2021-06-23
18905925.0,Rajasthan,22498043.0,3592118.0,315952.0,2021-06-23
4839891.0,Punjab,5736250.0,896359.0,78987.0,2021-06-23
8874332.0,Odisha,10765825.0,1891493.0,302316.0,2021-06-23
376992.0,Nagaland,430786.0,53794.0,10535.0,2021-06-23
443264.0,Mizoram,496292.0,53028.0,22848.0,2021-06-23
554067.0,Meghalaya,629639.0,75572.0,12091.0,2021-06-23
510253.0,Manipur,582812.0,72559.0,6166.0,2021-06-23
23663198.0,Maharashtra,29345261.0,5682063.0,617216.0,2021-06-23
128630.0,Andaman and Nicobar Islands,144234.0,15604.0,3905.0,2021-06-23
158463.0,Daman and Diu,173633.0,15170.0,3400.0,2021-06-23
155252.0,Daman and Diu,170200.0,14948.0,3723.0,2021-06-22
5080592.0,Delhi,6697233.0,1616641.0,84796.0,2021-06-22
16752226.0,Karnataka,20104474.0,3352248.0,394389.0,2021-06-22
5055364.0,Jharkhand,6000196.0,944832.0,102360.0,2021-06-22
3439485.0,Jammu and Kashmir,4051418.0,611933.0,38076.0,2021-06-22
2600380.0,Himachal Pradesh,3040740.0,440360.0,120697.0,2021-06-22
6800712.0,Haryana,8011052.0,1210340.0,76343.0,2021-06-22
18105136.0,Gujarat,23067276.0,4962140.0,427248.0,2021-06-22
688792.0,Goa,791272.0,102480.0,14602.0,2021-06-22
142449.0,Dadra and Nagar Haveli,154806.0,12357.0,3978.0,2021-06-22
164799.0,Ladakh,202329.0,37530.0,1552.0,2021-06-22
5386159.0,Chhattisgarh,6605593.0,1219434.0,107994.0,2021-06-22
390586.0,Chandigarh,468436.0,77850.0,7766.0,2021-06-22
12546864.0,Bihar,14642396.0,2095532.0,288917.0,2021-06-22
4885776.0,Assam,5989078.0,1103302.0,247592.0,2021-06-22
425013.0,Arunachal Pradesh,505027.0,80014.0,10299.0,2021-06-22
11306134.0,Andhra Pradesh,14058162.0,2752028.0,42891.0,2021-06-22
15251854.0,West Bengal,19667535.0,4415681.0,300313.0,2021-06-22
10022247.0,Kerala,12668936.0,2646689.0,230646.0,2021-06-22
124729.0,Andaman and Nicobar Islands,140296.0,15567.0,2788.0,2021-06-22
45234.0,Lakshadweep,52459.0,7225.0,191.0,2021-06-22
4764482.0,Punjab,5647031.0,882549.0,114539.0,2021-06-22
14660585.0,Madhya Pradesh,16803173.0,2142588.0,4842.0,2021-06-22
3056963.0,Uttarakhand,3799085.0,742122.0,118827.0,2021-06-22
23129586.0,Uttar Pradesh,27232439.0,4102853.0,810368.0,2021-06-22
1733843.0,Tripura,2285345.0,551502.0,183055.0,2021-06-22
8076582.0,Telangana,9486520.0,1409938.0,149402.0,2021-06-22
325348.0,Sikkim,385331.0,59983.0,13731.0,2021-06-22
18591445.0,Rajasthan,22139075.0,3547630.0,378870.0,2021-06-22
11092832.0,Tamil Nadu,13414792.0,2321960.0,219764.0,2021-06-22
387363.0,Puducherry,445363.0,58000.0,7947.0,2021-06-22
8574489.0,Odisha,10441470.0,1866981.0,266376.0,2021-06-22
366444.0,Nagaland,419911.0,53467.0,9883.0,2021-06-22
420432.0,Mizoram,473304.0,52872.0,27429.0,2021-06-22
541746.0,Meghalaya,617157.0,75411.0,12594.0,2021-06-22
504048.0,Manipur,576461.0,72413.0,3977.0,2021-06-22
23089545.0,Maharashtra,28706375.0,5616830.0,558186.0,2021-06-22
379550.0,Puducherry,436571.0,57021.0,17333,2021-06-21
22587693.0,Maharashtra,28128768.0,5541075.0,383121,2021-06-21
500102.0,Manipur,572397.0,72295.0,6611,2021-06-21
528959.0,Meghalaya,604195.0,75236.0,13191,2021-06-21
393007.0,Mizoram,445820.0,52813.0,17064,2021-06-21
356362.0,Nagaland,409572.0,53210.0,9920,2021-06-21
8309521.0,Odisha,10149548.0,1840027.0,294338,2021-06-21
